"identifier_ric","company_name","ticker_symbol","naics_sector_name","organization_website","contact_email_address","country_of_headquarters","index_name","mx_company_name","mx_country","mx_type","mx_country_group","mx_type_group"
"ABF.L","Associated British Foods PLC","ABF","Retail Trade","https://www.abf.co.uk/",,"United Kingdom","FTSE 100","Unknown","Unknown","Unknown","Unknown","Unknown"
"ADML.L","Admiral Group PLC","ADM","Finance and Insurance","https://admiralgroup.co.uk/","IInvestorRelationsTeam@admiralgroup.co.uk","United Kingdom","FTSE 100","Symantec","United States","Security","United States","Managed"
"AHT.L","Ashtead Group PLC","AHT","Real Estate and Rental and Leasing","https://www.ashtead-group.com/","wshaw@ashtead-group.com","United Kingdom","FTSE 100","ProofPoint","United States","Security","United States","Managed"
"ANTO.L","Antofagasta PLC","ANTO","Mining, Quarrying, and Oil and Gas Extraction","https://www.antofagasta.co.uk/","alindsay@antofagasta.co.uk","Liechtenstein","FTSE 100","Mimecast","United Kingdom","Security","United Kingdom","Managed"
"AUTOA.L","Auto Trader Group PLC","AUTO","Information","https://plc.autotrader.co.uk/","ir@autotrader.co.uk","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"AV.L","Aviva PLC","AV.","Finance and Insurance","https://www.aviva.com/","IR@aviva.com","United Kingdom","FTSE 100","Symantec","United States","Security","United States","Managed"
"AVV.L","AVEVA Group PLC","AVV","Professional, Scientific, and Technical Services","http://www.aveva.com","Matt.Springett@aveva.com","France","FTSE 100","Cisco","United States","Security","United States","Managed"
"AZN.L","AstraZeneca PLC","AZN","Manufacturing","https://www.astrazeneca.com/Home",,"United Kingdom","FTSE 100","Mimecast","United Kingdom","Security","United Kingdom","Managed"
"BAES.L","BAE Systems PLC","BA.","Manufacturing","https://www.baesystems.com/",,"United Kingdom","FTSE 100","BAE Systems PLC","United Kingdom","Provider","United Kingdom","Self"
"BARC.L","Barclays PLC","BARC","Finance and Insurance","https://www.home.barclays/","barclays.ir@barclays.com","United Kingdom","FTSE 100","Symantec","United States","Security","United States","Managed"
"BATS.L","British American Tobacco PLC","BATS","Manufacturing","https://www.bat.com/",,"United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"BDEV.L","Barratt Developments P L C","BDEV","Construction","http://www.barrattdevelopments.co.uk/","john.messenger@barrattplc.co.uk","United Kingdom","FTSE 100","ProofPoint","United States","Security","United States","Managed"
"BKGH.L","Berkeley Group Holdings PLC","BKG","Construction","https://www.berkeleygroup.co.uk/",,"United Kingdom","FTSE 100","Mimecast","United Kingdom","Security","United Kingdom","Managed"
"BLND.L","British Land Company PLC","BLND","Real Estate and Rental and Leasing","https://www.britishland.com/","david.walker@britishland.com","United Kingdom","FTSE 100","Mimecast","United Kingdom","Security","United Kingdom","Managed"
"BMEB.L","B&M European Value Retail SA","BME","Retail Trade","https://www.bandmretail.com/","Investor.relations@bandmretail.com","Luxembourg","FTSE 100","Cisco","United States","Security","United States","Managed"
"BNZL.L","Bunzl plc","BNZL","Wholesale Trade","https://www.bunzl.com/","investor@bunzl.com","United Kingdom","FTSE 100","Mimecast","United Kingdom","Security","United Kingdom","Managed"
"BP.L","BP PLC","BP.","Manufacturing","https://www.bp.com/","ir@bp.com","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"BRBY.L","Burberry Group PLC","BRBY","Retail Trade","https://www.burberryplc.com/en/index.html","investor.relations@burberry.com","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"BT.L","BT Group PLC","BT.A","Professional, Scientific, and Technical Services","https://www.bt.com/","mark.lidiard@bt.com","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"CCH.L","Coca Cola HBC AG","CCH","Manufacturing","https://coca-colahellenic.com/","investor.relations@cchellenic.com","Switzerland","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"CNA.L","Centrica PLC","CNA","Utilities","https://www.centrica.com/","ir@centrica.com","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"CPG.L","Compass Group PLC","CPG","Accommodation and Food Services","https://www.compass-group.com/en/index.html","investor.relations@compass-group.co.uk","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"CRDA.L","Croda International PLC","CRDA","Manufacturing","https://www.croda.com/en-gb","david.bishop@croda.com","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"CRH.L","CRH PLC","CRH","Manufacturing","https://www.crh.com/","ir@crh.com","Ireland","FTSE 100","ProofPoint","United States","Security","United States","Managed"
"CTEC.L","ConvaTec Group PLC","CTEC","Manufacturing","https://www.convatecgroup.com/","investorrelations@convatec.com","United Kingdom","FTSE 100","CSC","United States","Security","United States","Managed"
"DCC.L","DCC PLC","DCC","Wholesale Trade","https://www.dcc.ie/","investorrelations@dcc.ie","Ireland","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"DGE.L","Diageo PLC","DGE","Manufacturing","https://www.diageo.com/","investor.relations@diageo.com","United Kingdom","FTSE 100","ProofPoint","United States","Security","United States","Managed"
"DPH.L","Dechra Pharmaceuticals PLC","DPH","Manufacturing","https://www.dechra.com/","corporate.enquiries@dechra.com","United Kingdom","FTSE 100","Symantec","United States","Security","United States","Managed"
"EDV.L","Endeavour Mining plc","EDV","Mining, Quarrying, and Oil and Gas Extraction","https://www.endeavourmining.com/","investor@endeavourmining.com","United Kingdom","FTSE 100","Mimecast","United Kingdom","Security","United Kingdom","Managed"
"ENT.L","Entain PLC","ENT","Arts, Entertainment, and Recreation","https://entaingroup.com/","investors@gvc-plc.com","Isle of Man","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"EXPN.L","Experian PLC","EXPN","Administrative and Support and Waste Management and Remediation Services","https://www.experianplc.com/","investors@experian.com","Ireland","FTSE 100","ProofPoint","United States","Security","United States","Managed"
"FCIT.L","F&C Investment Trust PLC","FCIT","Finance and Insurance","https://www.fandc.com/fund-updates/",,"United Kingdom","FTSE 100","ProofPoint","United States","Security","United States","Managed"
"FLTRF.L","Flutter Entertainment PLC","FLTR","Arts, Entertainment, and Recreation","https://www.flutter.com/","investor.relations@flutter.com","Ireland","FTSE 100","ForcePoint","United States","Security","United States","Managed"
"FRAS.L","Frasers Group PLC","FRAS","Retail Trade","https://frasers.group/","investor.relations@frasers.group","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"FRES.L","Fresnillo PLC","FRES","Mining, Quarrying, and Oil and Gas Extraction","http://www.fresnilloplc.com/","IR@fresnilloplc.com","Mexico","FTSE 100","Unknown","Unknown","Unknown","Unknown","Unknown"
"GLEN.L","Glencore PLC","GLEN","Mining, Quarrying, and Oil and Gas Extraction","https://www.glencore.com/","martin.fewings@glencore.com","Switzerland","FTSE 100","Glencore PLC","Switzerland","Provider","Other","Self"
"GSK.L","GSK plc","GSK","Manufacturing","https://www.gsk.com/","GSK.Investor-Relations@gsk.com","United Kingdom","FTSE 100","ProofPoint","United States","Security","United States","Managed"
"HBR.L","Harbour Energy PLC","HBR","Mining, Quarrying, and Oil and Gas Extraction","https://www.harbourenergy.com/","elizabeth.brooks@harbourenergy.com","United Kingdom","FTSE 100","Mimecast","United Kingdom","Security","United Kingdom","Managed"
"HLMA.L","Halma PLC","HLMA","Manufacturing","https://www.halma.com/","investor.relations@halma.com","United Kingdom","FTSE 100","ProofPoint","United States","Security","United States","Managed"
"HLN.L","HALEON PLC","HLN","Manufacturing","https://www.haleon.com/investors/",,"United Kingdom","FTSE 100","ProofPoint","United States","Security","United States","Managed"
"HRGV.L","Hargreaves Lansdown PLC","HL.","Finance and Insurance","http://www.hl.co.uk/","ir@hl.co.uk","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"HSBA.L","HSBC Holdings PLC","HSBA","Finance and Insurance","https://www.hsbc.com/","richard.j.oconnor@hsbc.com","United Kingdom","FTSE 100","ProofPoint","United States","Security","United States","Managed"
"HSV.L","HomeServe PLC","HSV","Construction","https://www.homeserveplc.com/","Miriam.McKay@homeserveplc.com","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"ICAG.L","International Consolidated Airlines Group SA","IAG","Transportation and Warehousing","https://www.iairgroup.com/es","investor.relations@iairgroup.com","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"ICP.L","Intermediate Capital Group PLC","ICP","Finance and Insurance","https://www.icgam.com/","shareholder.relations@icgam.com","United Kingdom","FTSE 100","Mimecast","United Kingdom","Security","United Kingdom","Managed"
"IHG.L","InterContinental Hotels Group PLC","IHG","Accommodation and Food Services","https://www.ihgplc.com/","investors@ihg.com","United Kingdom","FTSE 100","ProofPoint","United States","Security","United States","Managed"
"III.L","3i Group PLC","III","Finance and Insurance","https://www.3i.com/","silvia.santoro@3i.com","United Kingdom","FTSE 100","Mimecast","United Kingdom","Security","United Kingdom","Managed"
"IMB.L","Imperial Brands PLC","IMB","Manufacturing","https://www.imperialbrandsplc.com/index.html","ir@impbrands.com","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"INF.L","Informa PLC","INF","Information","https://www.informa.com/?AspxAutoDetectCookieSupport=1","investorrelations@informa.com","United Kingdom","FTSE 100","Mimecast","United Kingdom","Security","United Kingdom","Managed"
"ITRK.L","Intertek Group PLC","ITRK","Professional, Scientific, and Technical Services","http://www.intertek.com/","investor@intertek.com","United Kingdom","FTSE 100","ProofPoint","United States","Security","United States","Managed"
"JD.L","JD Sports Fashion PLC","JD.","Retail Trade","https://www.jdsports.co.uk/","investor.relations@jdplc.com","United Kingdom","FTSE 100","TrendMicro","United States","Security","United States","Managed"
"KGF.L","Kingfisher PLC","KGF","Retail Trade","https://kingfisher.com/en/index.html","investorenquiries@kingfisher.com","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"LAND.L","Land Securities Group PLC","LAND","Real Estate and Rental and Leasing","https://landsec.com/","edward.thacker@landsec.com","United Kingdom","FTSE 100","ProofPoint","United States","Security","United States","Managed"
"LGEN.L","Legal & General Group PLC","LGEN","Finance and Insurance","https://group.legalandgeneral.com/en","investor.relations@group.landg.com","United Kingdom","FTSE 100","Symantec","United States","Security","United States","Managed"
"LLOY.L","Lloyds Banking Group PLC","LLOY","Finance and Insurance","https://www.lloydsbankinggroup.com",,"United Kingdom","FTSE 100","Unknown","Unknown","Unknown","Unknown","Unknown"
"LSEG.L","London Stock Exchange Group PLC","LSEG","Finance and Insurance","https://www.lseg.com/","irinfo-r@lseg.com","United Kingdom","FTSE 100","Mimecast","United Kingdom","Security","United Kingdom","Managed"
"MNDI.L","Mondi PLC","MNDI","Manufacturing","https://www.mondigroup.com/en/contact-us/","ir@mondigroup.com","United Kingdom","FTSE 100","ProofPoint","United States","Security","United States","Managed"
"MNG.L","M&G PLC","MNG","Finance and Insurance","https://global.mandg.com/","luca.gagliardi@mandg.com","United Kingdom","FTSE 100","Cisco","United States","Security","United States","Managed"
"MRON.L","Melrose Industries PLC","MRO","Manufacturing","https://www.melroseplc.net","IR@Melroseplc.net","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"NG.L","National Grid PLC","NG.","Utilities","https://www.nationalgrid.com/","nicholas.ashworth@nationalgrid.com","United Kingdom","FTSE 100","ProofPoint","United States","Security","United States","Managed"
"NWG.L","Natwest Group PLC","NWG","Finance and Insurance","https://www.natwestgroup.com/","investor.relations@natwest.com","United Kingdom","FTSE 100","Unknown","Unknown","Unknown","Unknown","Unknown"
"NXT.L","Next PLC","NXT","Retail Trade","http://www.nextplc.co.uk/",,"United Kingdom","FTSE 100","Unknown","Unknown","Unknown","Unknown","Unknown"
"OCDO.L","Ocado Group PLC","OCDO","Retail Trade","http://www.ocadogroup.com/","investor.relations@ocado.com","United Kingdom","FTSE 100","Google","United States","Provider","United States","Managed"
"PHNX.L","Phoenix Group Holdings PLC","PHNX","Finance and Insurance","https://www.thephoenixgroup.com/","claire.hawkins@thephoenixgroup.com","United Kingdom","FTSE 100","Mimecast","United Kingdom","Security","United Kingdom","Managed"
"PRU.L","Prudential PLC","PRU","Finance and Insurance","https://www.prudentialplc.com/","investor.relations@prudentialplc.com","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"PSHP.L","Pershing Square Holdings Ltd","PSH","Finance and Insurance","http://pershingsquareholdings.com/","IR-PershingSquareHoldings@camarco.co.uk","Guernsey","FTSE 100","Rackspace","United States","Provider","United States","Managed"
"PSN.L","Persimmon PLC","PSN","Construction","https://www.persimmonhomes.com/","feedback@persimmonhomes.com","United Kingdom","FTSE 100","Mimecast","United Kingdom","Security","United Kingdom","Managed"
"PSON.L","Pearson PLC","PSON","Information","https://www.pearson.com/","ir@pearson.com","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"REL.L","Relx PLC","REL","Information","https://www.relx.com/","investor.relations@relx.com","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"RIO.L","Rio Tinto PLC","RIO","Mining, Quarrying, and Oil and Gas Extraction","https://www.riotinto.com/",,"United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"RKT.L","Reckitt Benckiser Group PLC","RKT","Manufacturing","https://www.reckitt.com/","IR@rb.com","United Kingdom","FTSE 100","Mimecast","United Kingdom","Security","United Kingdom","Managed"
"RMV.L","Rightmove PLC","RMV","Information","http://www.rightmove.co.uk","Investor.relations@rightmove.co.uk","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"RR.L","Rolls-Royce Holdings PLC","RR.","Manufacturing","https://www.rolls-royce.com/investors.aspx","Isabel.Green@Rolls-Royce.com","United Kingdom","FTSE 100","Cisco","United States","Security","United States","Managed"
"RS1R.L","RS Group PLC","RS1","Wholesale Trade","https://www.rsgroup.com/","lucy.sharma@electrocomponents.com","United Kingdom","FTSE 100","Mimecast","United Kingdom","Security","United Kingdom","Managed"
"RTO.L","Rentokil Initial PLC","RTO","Administrative and Support and Waste Management and Remediation Services","https://www.rentokil-initial.com/","peter.russell@rentokil-initial.com","United Kingdom","FTSE 100","Google","United States","Provider","United States","Managed"
"SBRY.L","J Sainsbury PLC","SBRY","Retail Trade","https://www.about.sainsburys.co.uk/",,"United Kingdom","FTSE 100","ProofPoint","United States","Security","United States","Managed"
"SDR.L","Schroders PLC","SDR","Finance and Insurance","https://www.schroders.com/","investorrelations@schroders.com","United Kingdom","FTSE 100","Mimecast","United Kingdom","Security","United Kingdom","Managed"
"SGE.L","Sage Group PLC","SGE","Information","https://www.sage.com/","investor.relations@sage.com","United Kingdom","FTSE 100","Cisco","United States","Security","United States","Managed"
"SGRO.L","SEGRO PLC","SGRO","Real Estate and Rental and Leasing","https://www.segro.com/","Claire.Mogford@SEGRO.com","United Kingdom","FTSE 100","Mimecast","United Kingdom","Security","United Kingdom","Managed"
"SHEL.L","Shell PLC","SHEL","Mining, Quarrying, and Oil and Gas Extraction","https://www.shell.com/","ir-europe@shell.com","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"SJP.L","St James's Place PLC","STJ","Finance and Insurance","https://www.sjp.co.uk/","hugh.taylor@sjp.co.uk","United Kingdom","FTSE 100","ProofPoint","United States","Security","United States","Managed"
"SKG.L","Smurfit Kappa Group PLC","SKG","Manufacturing","http://www.smurfitkappa.com/","ir@smurfitkappa.com","Ireland","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"SMDS.L","DS Smith PLC","SMDS","Manufacturing","http://www.dssmith.com","ir@dssmith.co.uk","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"SMIN.L","Smiths Group PLC","SMIN","Manufacturing","https://www.smiths.com/","investor.relations@smiths.com","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"SMT.L","Scottish Mortgage Investment Trust PLC","SMT","Finance and Insurance","https://www.scottishmortgage.com/",,"United Kingdom","FTSE 100","Unknown","Unknown","Unknown","Unknown","Unknown"
"SN.L","Smith & Nephew PLC","SN.","Manufacturing","https://www.smith-nephew.com/","andrew.swift@smith-nephew.com","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"SPX.L","Spirax-Sarco Engineering PLC","SPX","Manufacturing","http://www.spiraxsarcoengineering.com/","Spirax-SarcoInvestorRelations@uk.spiraxsarco.com","United Kingdom","FTSE 100","Cisco","United States","Security","United States","Managed"
"SSE.L","SSE PLC","SSE","Utilities","https://www.sse.com/","ir@sse.com","United Kingdom","FTSE 100","ProofPoint","United States","Security","United States","Managed"
"STAN.L","Standard Chartered PLC","STAN","Finance and Insurance","https://www.sc.com/en/","Investor.Relations@sc.com","United Kingdom","FTSE 100","Symantec","United States","Security","United States","Managed"
"SVT.L","Severn Trent PLC","SVT","Utilities","https://www.severntrent.com/","investorrelations@severntrent.co.uk","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"TSCO.L","Tesco PLC","TSCO","Retail Trade","https://www.tescoplc.com","investor.relations@tesco.com","United Kingdom","FTSE 100","ProofPoint","United States","Security","United States","Managed"
"TW.L","Taylor Wimpey PLC","TW.","Construction","https://www.taylorwimpey.co.uk/","ircomms@taylorwimpey.com","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"ULVR.L","Unilever PLC","ULVR","Manufacturing","https://www.unilever.com/","investor.relations@unilever.com","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"UTG.L","Unite Group PLC","UTG","Real Estate and Rental and Leasing","https://www.unitegroup.com/","ir@unitestudents.com","United Kingdom","FTSE 100","Mimecast","United Kingdom","Security","United Kingdom","Managed"
"UU.L","United Utilities Group PLC","UU.","Utilities","http://www.unitedutilities.com/","robert.lee@uuplc.co.uk","United Kingdom","FTSE 100","ProofPoint","United States","Security","United States","Managed"
"VOD.L","Vodafone Group PLC","VOD","Information","https://www.vodafone.com/","Matthew.Johnson@Vodafone.com","United Kingdom","FTSE 100","Microsoft","United States","Provider","United States","Managed"
"WPP.L","WPP PLC","WPP","Professional, Scientific, and Technical Services","https://www.wpp.com/","peregrine.riviere@wpp.com","United Kingdom","FTSE 100","ProofPoint","United States","Security","United States","Managed"
"WTB.L","Whitbread PLC","WTB","Accommodation and Food Services","https://www.whitbread.co.uk/","Investorrelations@whitbread.com","United Kingdom","FTSE 100","ProofPoint","United States","Security","United States","Managed"
"0001.HK","CK Hutchison Holdings Ltd","1","Retail Trade","https://www.ckh.com.hk/","ir@ckh.com.hk","Hong Kong","Hang Seng","ProofPoint","United States","Security","United States","Managed"
"0002.HK","CLP Holdings Ltd","2","Utilities","https://www.clpgroup.com/","ir@clp.com.hk","Hong Kong","Hang Seng","Symantec","United States","Security","United States","Managed"
"0003.HK","Hong Kong and China Gas Co Ltd","3","Mining, Quarrying, and Oil and Gas Extraction","https://www.towngas.com/","invrelation@towngas.com","Hong Kong","Hang Seng","Microsoft","United States","Provider","United States","Managed"
"0005.HK","HSBC Holdings PLC","5","Finance and Insurance","https://www.hsbc.com/","richard.j.oconnor@hsbc.com","United Kingdom","Hang Seng","ProofPoint","United States","Security","United States","Managed"
"0006.HK","Power Assets Holdings Ltd","6","Utilities","https://www.powerassets.com/","mail@powerassets.com","Hong Kong","Hang Seng","Unknown","Unknown","Unknown","Unknown","Unknown"
"0011.HK","Hang Seng Bank Ltd","11","Finance and Insurance","https://www.hangseng.com/",,"United Kingdom","Hang Seng","ProofPoint","United States","Security","United States","Managed"
"0012.HK","Henderson Land Development Co Ltd","12","Construction","https://www.hld.com/",,"Hong Kong","Hang Seng","Henderson Land Development Co Ltd","China","Provider","China","Self"
"0016.HK","Sun Hung Kai Properties Ltd","16","Construction","https://www.shkp.com","ir@shkp.com","Hong Kong","Hang Seng","Unknown","Unknown","Unknown","Unknown","Unknown"
"0017.HK","New World Development Co Ltd","17","Construction","http://www.nwd.com.hk","ir@nwd.com.hk","Hong Kong","Hang Seng","New World Development Co Ltd","China","Provider","China","Self"
"0027.HK","Galaxy Entertainment Group Ltd","27","Accommodation and Food Services","https://www.galaxyentertainment.com/en","ir@galaxyentertainment.com","Hong Kong","Hang Seng","ProofPoint","United States","Security","United States","Managed"
"0066.HK","MTR Corp Ltd","66","Transportation and Warehousing","https://www.mtr.com.hk/","investor@mtr.com.hk","Hong Kong","Hang Seng","FireEye","United States","Security","United States","Managed"
"0101.HK","Hang Lung Properties Ltd","101","Real Estate and Rental and Leasing","https://www.hanglung.com","ir@hanglung.com","Hong Kong","Hang Seng","Microsoft","United States","Provider","United States","Managed"
"0175.HK","Geely Automobile Holdings Ltd","175","Manufacturing","http://www.geelyauto.com.hk/",,"China (Mainland)","Hang Seng","Barracuda","United States","Security","United States","Managed"
"0241.HK","Alibaba Health Information Technology Ltd","241","Retail Trade","https://www.alihealth.cn/","alihealth_info@alibaba-inc.com","China (Mainland)","Hang Seng","Alibaba Health Information Technology Ltd","China","Provider","China","Self"
"0267.HK","CITIC Ltd","267","Finance and Insurance","https://www.citic.com/en/","ir@citic.com","China (Mainland)","Hang Seng","Tencent","China","Provider","China","Managed"
"0288.HK","WH Group Ltd","288","Manufacturing","http://www.wh-group.com/","investor@wh-group.com","British Virgin Islands","Hang Seng","Microsoft","United States","Provider","United States","Managed"
"0291.HK","China Resources Beer Holdings Co Ltd","291","Manufacturing","https://www.crbeer.com.hk/","ir@cre.com.hk","China (Mainland)","Hang Seng","Unknown","Unknown","Unknown","Unknown","Unknown"
"0316.HK","Orient Overseas (International) Ltd","316","Transportation and Warehousing","https://www.ooilgroup.com/","martin.kan@oocl.com","China (Mainland)","Hang Seng","Microsoft","United States","Provider","United States","Managed"
"0386.HK","China Petroleum & Chemical Corp","386","Retail Trade","http://www.sinopec.com/",,"China (Mainland)","Hang Seng","China Petroleum & Chemical Corp","China","Provider","China","Self"
"0388.HK","Hong Kong Exchanges and Clearing Ltd","388","Finance and Insurance","https://www.hkexgroup.com/","investorrelations@hkex.com.hk","Hong Kong","Hang Seng","Hong Kong Exchanges and Clearing Ltd","China","Provider","China","Self"
"0669.HK","Techtronic Industries Co Ltd","669","Manufacturing","https://www.ttigroup.com/","ir@tti.com.hk","Hong Kong","Hang Seng","Microsoft","United States","Provider","United States","Managed"
"0688.HK","China Overseas Land & Investment Ltd","688","Construction","http://www.coli.com.hk/","coli.ir@cohl.com","China (Mainland)","Hang Seng","China Overseas Land & Investment Ltd","China","Provider","China","Self"
"0700.HK","Tencent Holdings Ltd","700","Information","https://www.tencent.com/",,"China (Mainland)","Hang Seng","Tencent","China","Provider","China","Managed"
"0762.HK","China Unicom Hong Kong Ltd","762","Information","https://www.chinaunicom.com.hk/","ir@chinaunicom.com.hk","China (Mainland)","Hang Seng","China Unicom Hong Kong Ltd","China","Provider","China","Self"
"0823.HK","Link Real Estate Investment Trust","823","Real Estate and Rental and Leasing","https://www.linkreit.com/","ir@linkreit.com","Hong Kong","Hang Seng","Unknown","Unknown","Unknown","Unknown","Unknown"
"0857.HK","PetroChina Co Ltd","857","Manufacturing","http://www.petrochina.com.cn/","hko@petrochina.com.hk","China (Mainland)","Hang Seng","PetroChina Co Ltd","China","Provider","China","Self"
"0868.HK","Xinyi Glass Holdings Ltd","868","Manufacturing","http://www.xinyiglass.com","ir@xinyiglass.com.hk","Hong Kong","Hang Seng","Xinyi Glass Holdings Ltd","China","Provider","China","Self"
"0881.HK","Zhongsheng Group Holdings Ltd","881","Retail Trade","https://www.zs-group.com.cn/","zs-group@wsfg.hk","China (Mainland)","Hang Seng","Tencent","China","Provider","China","Managed"
"0883.HK","CNOOC Ltd","883","Mining, Quarrying, and Oil and Gas Extraction","https://www.cnoocltd.com/","IR@cnooc.com.cn","China (Mainland)","Hang Seng","CNOOC Ltd","China","Provider","China","Self"
"0939.HK","China Construction Bank Corp","939","Finance and Insurance","http://www.ccb.com/","ir@ccb.com","China (Mainland)","Hang Seng","China Construction Bank Corp","China","Provider","China","Self"
"0941.HK","China Mobile Ltd","941","Information","http://www.chinamobileltd.com","ir@chinamobilehk.com","China (Mainland)","Hang Seng","China Mobile Ltd","China","Provider","China","Self"
"0960.HK","Longfor Group Holdings Ltd","960","Construction","https://www.longfor.com/","ir@longfor.com","China (Mainland)","Hang Seng","net263","China","Provider","China","Managed"
"0968.HK","Xinyi Solar Holdings Ltd","968","Manufacturing","https://www.xinyisolar.com/","ir@xinyisolar.com","China (Mainland)","Hang Seng","Xinyi Solar Holdings Ltd","China","Provider","China","Self"
"0981.HK","Semiconductor Manufacturing International Corp","981","Manufacturing","https://www.smics.com/","IR@smics.com","China (Mainland)","Hang Seng","Semiconductor Manufacturing International Corp","China","Provider","China","Self"
"0992.HK","Lenovo Group Ltd","992","Manufacturing","https://www.lenovo.com","ir@lenovo.com","China (Mainland)","Hang Seng","Microsoft","United States","Provider","United States","Managed"
"1038.HK","CK Infrastructure Holdings Ltd","1038","Utilities","https://www.cki.com.hk/","contact@cki.com.hk","Hong Kong","Hang Seng","Unknown","Unknown","Unknown","Unknown","Unknown"
"1044.HK","Hengan International Group Company Ltd","1044","Manufacturing","http://www.hengan.com","martinli@hengan.com.hk","China (Mainland)","Hang Seng","Tencent","China","Provider","China","Managed"
"1088.HK","China Shenhua Energy Co Ltd","1088","Mining, Quarrying, and Oil and Gas Extraction","http://www.csec.com/","ir@shenhua.cc","China (Mainland)","Hang Seng","China Shenhua Energy Co Ltd","China","Provider","China","Self"
"1093.HK","CSPC Pharmaceutical Group Ltd","1093","Manufacturing","https://www.cspc.com.hk/","ir@cspc.hk","China (Mainland)","Hang Seng","CSPC Pharmaceutical Group Ltd","China","Provider","China","Self"
"1109.HK","China Resources Land Ltd","1109","Construction","https://www.crland.com.hk/","ir@crland.com.cn","China (Mainland)","Hang Seng","Unknown","Unknown","Unknown","Unknown","Unknown"
"1113.HK","CK Asset Holdings Ltd","1113","Construction","https://www.ckah.com/",,"Hong Kong","Hang Seng","CK Asset Holdings Ltd","China","Provider","China","Self"
"1177.HK","Sino Biopharmaceutical Ltd","1177","Manufacturing","http://www.sinobiopharm.com/",,"Hong Kong","Hang Seng","Google","United States","Provider","United States","Managed"
"1211.HK","BYD Co Ltd","1211","Manufacturing","https://www.bydglobal.com/","byd@iprogilvy.com","China (Mainland)","Hang Seng","ProofPoint","United States","Security","United States","Managed"
"1299.HK","AIA Group Ltd","1299","Finance and Insurance","https://www.aia.com/","LANCE.BURBIDGE@AIA.COM","Hong Kong","Hang Seng","ProofPoint","United States","Security","United States","Managed"
"1378.HK","China Hongqiao Group Ltd","1378","Manufacturing","http://hongqiaochina.com/",,"Hong Kong","Hang Seng","net263","China","Provider","China","Managed"
"1398.HK","Industrial and Commercial Bank of China Ltd","1398","Finance and Insurance","http://www.icbc.com.cn/","ir@icbc.com.cn","China (Mainland)","Hang Seng","Industrial and Commercial Bank of China Ltd","China","Provider","China","Self"
"1810.HK","Xiaomi Corp","1810","Manufacturing","https://www.mi.com/","ir@xiaomi.com","China (Mainland)","Hang Seng","Xiaomi Corp","China","Provider","China","Self"
"1876.HK","Budweiser Brewing Company APAC Ltd","1876","Manufacturing","https://www.budweiserapac.com/","IR@budweiserapac.com","Belgium","Hang Seng","Mimecast","United Kingdom","Security","United Kingdom","Managed"
"1928.HK","Sands China Ltd","1928","Accommodation and Food Services","https://www.sandschina.com/",,"United States","Hang Seng","Unknown","Unknown","Unknown","Unknown","Unknown"
"1929.HK","Chow Tai Fook Jewellery Group Ltd","1929","Manufacturing","https://www.ctfjewellerygroup.com/","ir@chowtaifook.com","Hong Kong","Hang Seng","Chow Tai Fook Jewellery Group Ltd","China","Provider","China","Self"
"1997.HK","Wharf Real Estate Investment Company Ltd","1997","Real Estate and Rental and Leasing","https://www.wharfreic.com/","ir@wharfreic.com","Hong Kong","Hang Seng","Cisco","United States","Security","United States","Managed"
